image,width,height,time_start, time_end
roots_image_ LkokO5b123 .tiff,2099,2099,1562864232246,1562864239456
roots_image_ 3tNgghVIcw .tiff,2099,2099,1562864239457,1562864244161
roots_image_ s88u2ZLGn6 .tiff,2099,2099,1562864244161,1562864247859
roots_image_ wwHlojG1Dh .tiff,2099,2099,1562864247860,1562864251088
roots_image_ sagEnKV97K .tiff,2099,2099,1562864251088,1562864254272
roots_image_ hEQTkjkKIi .tiff,2099,2099,1562864254273,1562864257376
roots_image_ mHOIeQ7qQg .tiff,2099,2099,1562864257377,1562864260511
roots_image_ zxJl2aXLbi .tiff,2099,2099,1562864260511,1562864263520
roots_image_ pQolT5L2Cz .tiff,2099,2099,1562864263521,1562864266637
roots_image_ 9P9cnv10Ss .tiff,2099,2099,1562864266637,1562864269612
roots_image_ 3okEyn3Njd .tiff,2099,2099,1562864269612,1562864272572
roots_image_ w0lOErAGgD .tiff,2099,2099,1562864272574,1562864275626
roots_image_ U1le0C6szj .tiff,2099,2099,1562864275626,1562864278609
roots_image_ e7GoiYJBKi .tiff,2099,2099,1562864278609,1562864281675
roots_image_ MkEqT1Nyy8 .tiff,2099,2099,1562864281676,1562864284805
roots_image_ RCFsXQLGPz .tiff,2099,2099,1562864284805,1562864287841
roots_image_ 4CLY0Pe0tx .tiff,2099,2099,1562864287841,1562864290992
roots_image_ aoD31paLL0 .tiff,2099,2099,1562864290992,1562864293957
roots_image_ Wkjr1JTH6H .tiff,2099,2099,1562864293957,1562864297042
roots_image_ HNO27mUjG1 .tiff,2099,2099,1562864297042,1562864300077
roots_image_ i04hV2r1XC .tiff,2099,2099,1562864300077,1562864303116
roots_image_ gQrm3JCPkG .tiff,2099,2099,1562864303117,1562864307509
roots_image_ MpAGgKz63m .tiff,2099,2099,1562864307510,1562864310491
roots_image_ sRh9e1miaa .tiff,2099,2099,1562864310491,1562864313897
roots_image_ N39sOAzlcR .tiff,2099,2099,1562864313898,1562864316963
roots_image_ QuRIXybhPl .tiff,2099,2099,1562864316963,1562864320059
roots_image_ TuqPoHHH43 .tiff,2099,2099,1562864320059,1562864323000
roots_image_ EgDETTJY9f .tiff,2099,2099,1562864323000,1562864326003
roots_image_ 2qJ0j6vaHA .tiff,2099,2099,1562864326004,1562864329036
roots_image_ 6T9s6VfuLp .tiff,2099,2099,1562864329036,1562864331973
roots_image_ x0r48qZcfZ .tiff,2099,2099,1562864331973,1562864335049
roots_image_ 43URcsA2gC .tiff,2099,2099,1562864335049,1562864338037
roots_image_ GLeAUdarWy .tiff,2099,2099,1562864338038,1562864340991
roots_image_ Wji7ObzKtH .tiff,2099,2099,1562864340991,1562864343913
roots_image_ DvsqpI8WoP .tiff,2099,2099,1562864343913,1562864346986
roots_image_ 4jV3CaJ5Yr .tiff,2099,2099,1562864346987,1562864350034
roots_image_ BJNEPPUWMw .tiff,2099,2099,1562864350035,1562864352973
roots_image_ hNK6lApKgH .tiff,2099,2099,1562864352973,1562864356052
roots_image_ m2Fah5g3DI .tiff,2099,2099,1562864356052,1562864359135
roots_image_ SEakH2vNOg .tiff,2099,2099,1562864359135,1562864362172
roots_image_ yxUJ6DYqjC .tiff,2099,2099,1562864362172,1562864365239
roots_image_ G8SC3qLrgE .tiff,2099,2099,1562864365239,1562864368154
roots_image_ 4MFPaCffl2 .tiff,2099,2099,1562864368154,1562864371217
roots_image_ prUV90VVv1 .tiff,2099,2099,1562864371218,1562864374168
roots_image_ vRhrSCfq9h .tiff,2099,2099,1562864374168,1562864377183
roots_image_ aeQt0lAfTx .tiff,2099,2099,1562864377183,1562864380145
roots_image_ RdJpN6FwJ7 .tiff,2099,2099,1562864380145,1562864383431
roots_image_ FF9Tv56M4V .tiff,2099,2099,1562864383431,1562864386615
roots_image_ 1KFaLoNqC1 .tiff,2099,2099,1562864386616,1562864389657
roots_image_ jjifLcljH9 .tiff,2099,2099,1562864389657,1562864392649
